`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.93s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.93s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.96s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.81s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.40s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:08<00:00,  1.62s/it]
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 0, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 1, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 128, "phase": "original3", "repeat": 2, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 0, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 1, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 256, "phase": "original3", "repeat": 2, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 0, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 1, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 512, "phase": "original3", "repeat": 2, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 0, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 1, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"family": "qwen3", "attr_func": "perturbation_CLP", "target_input_tokens": 1024, "phase": "original3", "repeat": 2, "status": "init_error", "time_sec": null, "peak_allocated_gb": null}
{"status": "complete", "error": null}
